172705,1633.13,964.15,3.87,960.28
31409,2790.19,942.93,2.24,940.69
200110,1523.77,877.79,9.86,867.92
32430,1536.99,826.70,3.15,823.55
30644,992.56,902.33,90.22,812.11
59689,1327.91,806.27,1.92,804.35
286095,911.58,854.86,56.72,798.14
12167,862.67,830.21,32.46,797.75
180463,1543.86,800.07,2.92,797.15
48290,891.47,843.54,47.93,795.61
235046,944.64,869.30,75.33,793.97
21460,2184.53,793.90,3.44,790.45
262737,1431.34,795.26,4.97,790.29
158585,2129.29,786.90,3.17,783.73
986,844.15,811.10,33.05,778.05
12157,961.73,777.97,2.23,775.74
115415,814.57,793.40,21.16,772.24
274502,1023.52,770.59,1.99,768.60
164469,836.55,800.73,35.82,764.91
299333,2262.71,765.98,1.84,764.14
167454,958.72,765.39,1.59,763.80
294090,1343.57,764.79,1.53,763.27
224254,1076.51,764.74,1.72,763.02
25792,1462.58,782.94,22.59,760.35
105810,1197.64,763.39,3.10,760.28
125473,903.31,831.30,72.01,759.29
192568,1180.02,969.30,210.73,758.57
290146,916.38,835.19,81.18,754.01
245861,933.45,843.44,90.01,753.43
41318,992.21,871.89,120.33,751.56
75007,948.84,850.02,98.82,751.19
297439,797.24,773.54,23.70,749.84
132093,1994.28,759.92,12.70,747.22
169512,1789.07,748.31,3.65,744.66
142350,871.69,806.71,64.98,741.72
39164,1811.06,739.39,2.44,736.95
209123,1370.70,739.14,2.20,736.94
172652,940.32,834.08,106.24,727.83
181963,1726.29,728.74,2.65,726.09
18605,1791.79,729.92,4.00,725.92
74144,917.61,820.39,97.22,723.17
110567,869.38,795.60,73.78,721.82
127819,906.08,813.65,92.44,721.21
113502,2132.18,723.51,3.01,720.50
233969,1919.52,723.77,3.79,719.97
226944,1402.24,722.15,2.38,719.77
73697,1108.88,723.13,3.83,719.30
147623,836.04,776.95,59.08,717.87
165538,900.37,808.96,91.41,717.55
95796,1392.63,728.73,11.42,717.31
